catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FW04463,Folkways Records,1959,Music of Thailand,Various Artists,Thailand,,World,"Can; Three-String violin",,"Music--Thailand; World music",http://www.folkways.si.edu/music-of-thailand/world/album/smithsonian,Thailand,99.7167943350506,17.6735049429952
FW04487,Folkways Records,1962,"Music of !Kung Bushmen of the Kalahari Desert, Africa",Various Artists,Botswana,Kung,World,Bamboo fiddle,,World music,http://www.folkways.si.edu/music-of-kung-bushmen-of-the-kalahari-desert-africa/world/album/smithsonian,Botswana,24.1070610230229,-19.8717296682191
FW04476,Folkways Records,1956,The Baoule of the Ivory Coast,Various Artists,Cote d'Ivoire,Baule,World,"Ankle bell; Djourou; Drum; Flute; Goly Klin; Gourd; Horns; Ivory horn; Klin Sin; Rattle (Musical instrument); Sticks, Rhythm; Xylophone",,World music,http://www.folkways.si.edu/the-baoule-of-the-ivory-coast/world/music/album/smithsonian,Cote d'Ivory,-5.36790358709543,7.41532371722151
FW04503,Folkways Records,1957,Africa South of the Sahara,Various Artists,"Angola; Botswana; Cameroon; Central African Republic; Congo (Democratic Republic); Ghana; Madagascar; Mali; Mozambique; Namibia; Nigeria; Rwanda; Senegal; South Africa; Sudan; Uganda","Acoli; Amakwavi; Babinga; Bambara; Boungomo; Bulu; Chopi; Ewe; Gangele; Hororo; Ibani; Kwiri; Luchosi; Mahafaly; Makua; Mboko; Mbuti; San; Shi; Swazi; Tswana; Tutsi; Twa; Wolof; Yoruba; Zulu","Islamica; World","Drum; Flute; Gong; Halam; Kasayi; Lute; Mbira; Musical bow; Rattle (Musical instrument); Sticks (Musical instrument); Sudanese harp; Timbila; Zither harp",,"World music; World music anthologies",http://www.folkways.si.edu/africa-south-of-the-sahara/islamica-world/music/album/smithsonian,Angola,14.1878704996523,-8.42116355029248
FW04507,Folkways Records,1958,Music of the World's Peoples: Vol. 4,Various Artists,"Armenia; Austria; Canada; Congo (Democratic Republic); Estonia; France; Indonesia; Korea, South; Mexico; Portugal; Romania; Russia; Samoa; Sri Lanka; Sweden; Switzerland; United States; Venezuela","Mbuti; Yaqui","Islamica; World","Drum; Gamelan; Rattle (Musical instrument)",,"American Indian; World music anthologies",http://www.folkways.si.edu/music-of-the-worlds-peoples-vol-4/islamica-world/album/smithsonian,Armenia,44.5440151721888,40.5897556914421
FW04532,Folkways Records,1971,Music from the Villages of Northeastern Nigeria,Various Artists,Nigeria,"Bolewa; Bura; Gaanda; Tangale; Tera",World,"Algaita; Banjo; Drum; Flute; Horns; One String fiddle; Xylophone",,World music,http://www.folkways.si.edu/music-from-the-villages-of-northeastern-nigeria/world/album/smithsonian,Nigeria,6.38396947709844,4.814167169415
FW04535,Folkways Records,1960,Folk Music of the U.S.S.R.,Various Artists,"Armenia; Azerbaijan; Belarus; Georgia (Country); Kazakhstan; Kyrgyzstan; Moldova; Russia; Tajikistan; Turkmenistan; Ukraine; USSR (former); Uzbekistan",,"Central Asia; Islamica; World","Dömbra; Duduk; Dutār; Gydzhak; Tara",,World music anthologies,http://www.folkways.si.edu/folk-music-of-the-ussr/central-asia-islamica-world/album/smithsonian,Armenia,45.0452563073721,40.611010578372
FW04537,Folkways Records,1961,"Music of Indonesia, Vol. 1 and Vol. 2",Various Artists,Indonesia,,"Islamica; World","Bamboo drum; Drum; Gong; Jew's Harp; Katapi; Percussion instruments; Suling (Musical instrument)",,World music,http://www.folkways.si.edu/music-of-indonesia-vol-1-and-vol-2/islamica-world/album/smithsonian,Indonesia,139.050044903771,-6.81274192906485
FW04581,Folkways Records,1962,Primitive Music of the World,Various Artists,"Angola; Australia; Canada; Congo (Democratic Republic); Ecuador; Honduras; India; Indonesia; Japan; Madagascar; Malaysia; New Zealand; Norway; Panama; Papua New Guinea; Philippines; Sri Lanka; Trinidad and Tobago; Turkmenistan; United States","Ainu; Apache; Black Carib Indians; Cuna; Magindanao; Maori; Mbuti; Murut; Navajo; Pende; Sami; Vedda","Central Asia; Islamica; World","Boru; Didjeridu; Drum; Flute; Lansaran; Mbira; Nose flute; Sacred flutes",,"American Indian; World music anthologies",http://www.folkways.si.edu/primitive-music-of-the-world/central-asia-islamica-world/album/smithsonian,Angola,16.8859582936119,-12.6246884325956
FW05432,Folkways Records,1968,Bentley on Biermann: Songs and Poems of Wolf Biermann,Eric Bentley,Germany,German,"Drama; Historical Song; Oral History &amp; Biography; Poetry","Guitar; Vocals",,"Instructional; Protest songs; Spoken word; Theater; World music",http://www.folkways.si.edu/eric-bentley/bentley-on-biermann-songs-and-poems-of-wolf-biermann/drama-historical-song-oral-history-biography-poetry/album/smithsonian,Germany,11.8309153746487,48.9893594534766
FW05433,Folkways Records,1964,Songs of Hanns Eisler,Eric Bentley,Germany,German,"Drama; Historical Song; Poetry",,,"Protest songs; Spoken word; Theater; World music",http://www.folkways.si.edu/eric-bentley/songs-of-hanns-eisler/drama-historical-song-poetry/album/smithsonian,Germany,8.40125786265543,50.7806650417977
FW05434,Folkways Records,1965,Bentley on Brecht: Songs and Poems of Bertolt Brecht,Eric Bentley,Germany,German,"Drama; Historical Song; Oral History &amp; Biography; Poetry",,,"Instructional; Motion picture soundtracks; Protest songs; Spoken word; Theater",http://www.folkways.si.edu/eric-bentley/songs-and-poems-of-bertolt-brecht/drama-historical-song-oral-history-biography-poetry/album/smithsonian,Germany,7.26745675678424,52.9351344793077
FW05442,Folkways Records,1962,Angola Freedom Songs,UPA Fighters,Angola,,"Historical Song; Struggle &amp; Protest; World",,,World music,http://www.folkways.si.edu/upa-fighters/angola-freedom-songs/historical-song-struggle-protest-world/music/album/smithsonian,Angola,19.4481398451192,-13.8892304745324
FW05443,Folkways Records,1962,The Freedom Songs of the Somali Republic,Abdullah Kershi and Ahmed Sherif,Somalia,,"Historical Song; Islamica; Struggle &amp; Protest; World",,,"Protest songs; World history; World music",http://www.folkways.si.edu/abdullah-kershi-and-ahmed-sherif/the-freedom-songs-of-the-somali-republic/historical-song-islamica-struggle-protest-world/music/album/smithsonian,Somalia,41.0580582564071,-0.355065602807402
FW05448,Folkways Records,1979,Mexico: Imagenes Cotidianas: Contemporary Mexican Folksongs,Joaquin Lopez,Mexico,,"Latin; World",,,World music,http://www.folkways.si.edu/joaquin-lopez/mexico-imagenes-cotidianas-contemporary-mexican-folksongs/latin-world/music/album/smithsonian,Mexico,-100.424449444719,25.2062225350495
FW05531,Folkways Records,,"Bertolt Brecht before the Committee on Un-American Activities: An Historical Encounter, Presented by Eric Bentley",Bertolt Brecht,"Germany; United States",,American History,,English,"Instructional; Spoken word; United States History",http://www.folkways.si.edu/bertolt-brecht/before-the-committee-on-un-american-activities-an-historical-encounter-presented-by-eric-bentley/american-history/music/album/smithsonian,Germany,9.874044787971,51.8070871529347
FW06913,Folkways Records,1956,Mexican Corridos,Various Artists,Mexico,,"Latin; World",,,Corridos,http://www.folkways.si.edu/mexican-corridos/latin-world/music/album/smithsonian,Mexico,-101.524136731658,20.2442167808131
FW06130,Folkways Records,1953,Sound Patterns,Various Artists,"Honduras; United States; Yugoslavia (former)",,Sounds,Talking drum,,"Nature; Sound effects",http://www.folkways.si.edu/sound-patterns/album/smithsonian,Honduras,-86.03141054677,15.4745651919634
FW06241,Folkways Records,1982,Travelon Gamelon: Music for Bicycles,Richard Lerman,"Indonesia; Netherlands; United States",,"Contemporary &amp; Electronic",Gamelan,,"Contemporary music; Gamelan",http://www.folkways.si.edu/richard-lerman/travelon-gamelon-music-for-bicycles/contemporary-electronic/album/smithsonian,Indonesia,122.641103848265,-4.1963528993138
FW06504,Folkways Records,1958,"The Dances of the World's Peoples, Vol. 4: Turkey, Israel, Greece, Armenia, and Caucasia",Various Artists,"Armenia; Greece; Israel; Turkey; USSR (former)",,World,Drum,,Dance,http://www.folkways.si.edu/the-dances-of-the-worlds-peoples-vol-4-turkey-israel-greece-armenia-and-caucasia/music/album/smithsonian,Armenia,44.3367568725192,40.3285073810834
FW06803,Folkways Records,1957,Folk Songs of Hungary,Suzy Sann,Hungary,,World,"Guitar; Vocals",,World music,http://www.folkways.si.edu/suzy-sann/folk-songs-of-hungary/world/music/album/smithsonian,Hungary,17.2889386676099,47.1908278241752
FW06806,Folkways Records,1952,Songs and Dances of Armenia,Various Artists,"Armenia; USSR (former)",,"Islamica; World","Drum; Duduk; Kamānche; Qanun; Tar (Lute)",,World music,http://www.folkways.si.edu/songs-and-dances-of-armenia/islamica-world/music/album/smithsonian,Armenia,46.4897075909805,39.0433954248045
FW06815,Folkways Records,1950,Sones of Mexico,Trio Aguilillas,Mexico,,"Latin; World",Guitar,,World music,http://www.folkways.si.edu/trio-aguilillas/sones-of-mexico/latin-world/music/album/smithsonian,Mexico,-103.583925695639,19.0470728832239
FW06834,Folkways Records,1955,Songs and Dances of Honduras,Various Artists,Honduras,,World,"Accordion; Guitar; Maraca; Marimba; Tiple (Plucked instrument); Violin",,World music,http://www.folkways.si.edu/songs-and-dances-of-honduras/world/music/album/smithsonian,Honduras,-86.6687350260586,14.394138653407
FW06848,Folkways Records,1954,Polish Folk Songs and Dances,Various Artists,Poland,,World,"Clarinet; Guitar",,World music,http://www.folkways.si.edu/polish-folk-songs-and-dances/world/music/album/smithsonian,Poland,22.8489760329817,53.415128545353
FW06853,Folkways Records,1955,Songs of Mexico,Various Artists,Mexico,,"Latin; World",,,World music,http://www.folkways.si.edu/songs-of-mexico/latin-world/music/album/smithsonian,Mexico,-106.634184634192,24.7398134229898
FW06922,Folkways Records,1956,German Favorite Songs,Ernst Wolff,Germany,,World,"Guitar; Piano; Vocals",,"Folksong revival; World music",http://www.folkways.si.edu/ernst-wolff/german-favorite-songs/world/music/album/smithsonian,Germany,8.15078556644253,51.131727547304
FW06925,Folkways Records,1956,Arabic Songs of Lebanon and Egypt,George Sawaya Trio,"Egypt; Lebanon",,"Islamica; World",,,World music,http://www.folkways.si.edu/george-sawaya-trio/arabic-songs-of-lebanon-and-egypt/islamica-world/music/album/smithsonian,Egypt,25.3996235760339,30.8212014960431
FW06947,Folkways Records,1956,German Christmas Songs,Ernst Wolff,Germany,,"Holiday; World","Piano; Vocals",,"Christmas music; World music",http://www.folkways.si.edu/ernst-wolff/german-christmas-songs/holiday-world/music/album/smithsonian,Germany,7.50078177081277,52.2742906613828
FW06957,Folkways Records,1957,The Yaqui Dances: Pascola Music of the Yaqui Indians of Northern Mexico,Various Artists,Mexico,Yaqui,"American Indian; World","Harp; Rattle (Musical instrument); Violin",,American Indian,http://www.folkways.si.edu/the-yaqui-dances-pascola-music-of-the-yaqui-indians-of-northern-mexico/american-indian-world/album/smithsonian,Mexico,-111.537163018865,24.6957191348922
FW07102,Folkways Records,1951,Folk Tales from Indonesia,Harold Courlander,Indonesia,,"Children's; Prose",,,"Instructional; Music--Juvenile; Spoken word; Storytelling",http://www.folkways.si.edu/harold-courlander/folk-tales-from-indonesia/childrens-prose/album/smithsonian,Indonesia,113.880969618572,-3.178834375747
FW07109,Folkways Records,1956,Stories from Ride with the Sun,Kathleen Danson Read,"Egypt; Iceland; Philippines; United States",,Children's,,English,"Instructional; Music--Juvenile; Spoken word; Storytelling",http://www.folkways.si.edu/kathleen-danson-read/stories-from-ride-with-the-sun/childrens/music/album/smithsonian,Egypt,33.0491706297026,28.3358206404201
FW07270,Folkways Records,1959,"German Children's Songs, Vol. 1",Ernst Wolff,Germany,,"Children's; World",,,"Music--Juvenile; World music",http://www.folkways.si.edu/ernst-wolff/german-childrens-songs-vol-1/world/music/album/smithsonian,Germany,10.2146555351743,49.4834451007353
FW07271,Folkways Records,1961,"German Children's Songs, Vol. 2",Ernst Wolff,Germany,,"Children's; World",,,"Music--Juvenile; World music",http://www.folkways.si.edu/ernst-wolff/german-childrens-songs-vol-2/world/music/album/smithsonian,Germany,9.41786648052861,52.6539475771692
FW07742,Folkways Records,1960,Children's Folk Songs of Germany,Erika and Elsa Vopel,Germany,,"Children's; World",,,"Music--Juvenile; World music",http://www.folkways.si.edu/erika-and-elsa-vopel/childrens-folk-songs-of-germany/childrens-world/music/album/smithsonian,Germany,13.5873789230999,52.7889997216653
FW07745,Folkways Records,1963,Cantos de Las Posadas and Other Christmas Songs (recorded by Elena Paz and Carlos Garcia Travesi),Various Artists,Mexico,,"Children's; Holiday; World",,,"Christmas music; Music--Juvenile; World music",http://www.folkways.si.edu/cantos-de-las-posadas-and-other-christmas-songs-recorded-by-elena-paz-and-carlos-garcia-travesi/childrens-holiday-world/music/album/smithsonian,Mexico,-93.7489226737101,17.4040393872386
FW07755,Folkways Records,1979,"Echoes of Timbuktu and Beyond in Congo Square, U.S.A.",Bilal Abdurahman,"Mali; United States",African American,"African American Spoken; Children's","Balafon; Clarinet; Goge; Halam; Saxophone; Ugandan harp",,World music,http://www.folkways.si.edu/bilal-abdurahman/echoes-of-timbuktu-and-beyond-in-congo-square-usa/african-american-spoken-childrens/music/album/smithsonian,Mali,-1.88432686747497,17.4452080912009
FW07851,Folkways Records,1968,Latin American Children Game Songs,Various Artists,"Mexico; Puerto Rico",,Children's,,,"Music--Juvenile; World music",http://www.folkways.si.edu/latin-american-children-game-songs/music/album/smithsonian,Mexico,-109.200436766355,29.9544885779877
FW08451,Folkways Records,1981,Melodies and Rhythms of Arabic Music,Various Artists,Lebanon,,"Islamica; World","Bouzouki; Mizmar; Nāy; Oud; Qanun; Rig (Musical instrument); Tabla",,World music,http://www.folkways.si.edu/melodies-and-rhythms-of-arabic-music/islamica-world/music/album/smithsonian,Lebanon,36.3790270705608,34.1018918971168
FW08452,Folkways Records,1982,Rabab: Egyptian Singing and Epic Songs,Various Artists,Egypt,,"Islamica; World",,,World music,http://www.folkways.si.edu/rabab-egyptian-singing-and-epic-songs/islamica-world/music/album/smithsonian,Egypt,25.9572737958729,29.669406041158
FW08504,Folkways Records,1971,Baijun Ballads: Somali Songs in Swahili,Haussein Shiekh and Radio Mogadisco Swahili Singers,Somalia,,"Islamica; World",,,World music,http://www.folkways.si.edu/haussein-shiekh-and-radio-mogadisco-swahili-singers/baijun-ballads-somali-songs-in-swahili/islamica-world/music/album/smithsonian,Somalia,49.1882260326226,8.20099952964858
FW08512,Folkways Records,1979,Music of Upper Egypt,Various Artists,Egypt,,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-upper-egypt/islamica-world/album/smithsonian,Egypt,34.5530234968839,30.0253766670699
FW08464,Folkways Records,1979,Indigenous Music of the Ivory Coast National Company,Ivory Coast National Company,Cote d'Ivoire,,World,Flute,,World music,http://www.folkways.si.edu/ivory-coast-national-company/indigenous-music-of/world/music/album/smithsonian,Cote d'Ivory,-5.20920951881547,9.14964528579007
FW08727,Folkways Records,1958,Folk Songs of Mexico,Alfonso Cruz Jimenez,Mexico,,"Latin; World","Guitar; Vocals",,World music,http://www.folkways.si.edu/alfonso-cruz-jimenez/folk-songs-of-mexico/latin-world/music/album/smithsonian,Mexico,-97.8177973365645,22.7742526432816
FW08769,Folkways Records,1968,Traditional Songs of Mexico,"Carlos Jaso, Rubén López, Mario Quiroz and Oscar Chávez",Mexico,,"Latin; World",,,World music,http://www.folkways.si.edu/carlos-jaso-ruben-lopez-mario-quiroz-and-oscar-chavez/traditional-songs-of-mexico/latin-world/music/album/smithsonian,Mexico,-90.0274461751172,19.6260377773673
FW08788,Folkways Records,1959,German Students' Songs,Ernst Wolff,Germany,,World,"Piano; Vocals",,World music,http://www.folkways.si.edu/ernst-wolff/german-students-songs/world/music/album/smithsonian,Germany,8.69800536328627,51.3732095888585
